iter	Passed	Remaining
1272	12189	466578
1273	12198	466536
1274	12207	466522
1275	12221	466695
1276	12231	466672
1277	12241	466707
1278	12251	466683
1279	12259	466625
1280	12267	466562
1281	12276	466515
1282	12285	466491
1283	12294	466475
1284	12303	466443
1285	12312	466406
1286	12321	466360
1287	12332	466418
1288	12341	466388
1289	12352	466420
1290	12362	466449
1291	12372	466420
1292	12380	466370
1293	12388	466315
1294	12399	466358
1295	12410	466404
1296	12421	466442
1297	12430	466418
1298	12440	466394
1299	12448	466323
1300	12456	466273
1301	12465	466232
1302	12473	466186
1303	12482	466127
1304	12489	466052
1305	12499	466031
1306	12508	465993
1307	12518	466017
1308	12527	466001
1309	12539	466052
1310	12548	466040
1311	12558	466034
1312	12566	465983
1313	12576	465968
1314	12586	466003
1315	12596	465981
1316	12607	466032
1317	12618	466077
1318	12627	466050
1319	12637	466066
1320	12648	466103
1321	12658	466115
1322	12668	466116
1323	12678	466109
1324	12686	466063
1325	12695	466024
1326	12703	465961
1327	12712	465936
1328	12722	465921
1329	12731	465887
1330	12740	465860
1331	12751	465891
1332	12760	465866
1333	12771	465919
1334	12781	465939
1335	12791	465918
1336	12802	465961
1337	12811	465954
1338	12820	465922
1339	12828	465863
1340	12837	465826
1341	12847	465806
1342	12855	465769
1343	12864	465740
1344	12873	465712
1345	12883	465688
1346	12892	465680
1347	12903	465708
1348	12912	465682
1349	12923	465738
1350	12934	465779
1351	12942	465717
1352	12952	465719
1353	12964	465782
1354	12973	465762
1355	12982	465706
1356	12991	465694
1357	13000	465666
1358	13009	465619
1359	13017	465581
1360	13025	465513
1361	13035	465490
1362	13044	465466
1363	13055	465510
1364	13063	465459
1365	13072	465412
1366	13081	465400
1367	13092	465425
1368	13103	465462
1369	13111	465424
1370	13122	465450
1371	13131	465413
1372	13140	465389
1373	13149	465370
1374	13158	465315
1375	13166	465271
1376	13177	465307
1377	13186	465262
1378	13194	465218
1379	13203	465187
1380	13212	465144
1381	13221	465115
1382	13230	465093
1383	13239	465058
1384	13248	465029
1385	13256	464983
1386	13265	464934
1387	13273	464883
1388	13283	464882
1389	13292	464858
1390	13301	464829
1391	13310	464804
1392	13319	464749
1393	13328	464744
1394	13340	464808
1395	13348	464765
1396	13357	464734
1397	13366	464683
1398	13374	464611
1399	13382	464547
1400	13390	464494
1401	13398	464428
1402	13407	464414
1403	13417	464426
1404	13426	464388
1405	13435	464353
1406	13444	464318
1407	13455	464351
1408	13465	464364
1409	13475	464367
1410	13486	464421
1411	13495	464396
1412	13504	464348
1413	13513	464321
1414	13520	464250
1415	13530	464227
1416	13541	464273
1417	13550	464255
1418	13559	464217
1419	13567	464169
1420	13576	464146
1421	13588	464192
1422	13597	464175
1423	13606	464136
1424	13615	464107
1425	13623	464071
1426	13633	464073
1427	13643	464056
1428	13651	464001
1429	13660	463994
1430	13669	463954
1431	13678	463909
1432	13687	463894
1433	13696	463852
1434	13705	463842
1435	13714	463822
1436	13723	463798
1437	13733	463771
1438	13743	463804
1439	13753	463789
1440	13761	463749
1441	13770	463692
1442	13778	463649
1443	13789	463683
1444	13797	463640
1445	13806	463608
1446	13815	463576
1447	13824	463526
1448	13833	463512
1449	13842	463479
1450	13851	463445
1451	13859	463401
1452	13868	463365
1453	13878	463372
1454	13887	463334
1455	13895	463284
1456	13905	463276
1457	13914	463265
1458	13923	463251
1459	13932	463211
1460	13942	463211
1461	13951	463173
1462	13961	463175
1463	13977	463400
1464	13987	463387
1465	13995	463348
1466	14004	463326
1467	14014	463303
1468	14023	463282
1469	14032	463261
1470	14040	463213
1471	14049	463169
1472	14058	463149
1473	14067	463122
1474	14076	463094
1475	14085	463056
1476	14094	463044
1477	14104	463033
1478	14117	463147
1479	14126	463116
1480	14136	463112
1481	14145	463108
1482	14157	463166
1483	14165	463114
1484	14173	463058
1485	14182	463006
1486	14191	462981
1487	14199	462938
1488	14207	462884
1489	14216	462838
